Rk,Name,Pos,Age,Team,Game,GS,3P%,FT%,STL,PER,TS%,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,VORP,EFF,GmSc,FG,3P,3PA,ORB,DRB,AST,BLK,PTS,last_year_salary
81,Isaiah Canaan,G,27,PHO,19,15,0.347,0.75,12,7.5,0.515,1.1,5.5,17,1.2,0,17.4,14.4,-0.3,8.947368421,94.8,51,25,72,5,44,62,0,142,1512601
82,Clint Capela,C,24,HOU,41,41,,0.628,25,24.8,0.642,16,21,7.4,0.9,4.6,10.4,19.7,1.8,22.46341463,726.5,307,0,0,204,314,59,77,722,15293104
83,DeMarre Carroll,F,32,BRK,32,0,0.356,0.777,11,12.1,0.553,4.2,10.9,6.5,0.7,0.3,10.2,19.2,-0.1,10.09375,228.3,104,52,146,30,124,34,3,340,15400000
84,Jevon Carter,G,23,MEM,8,0,0.19,,8,2.7,0.324,0,4.9,17.3,3.4,0.8,15.9,17.2,-0.1,5,9.8,10,4,21,0,10,14,1,24,
85,Vince Carter,F,42,ATL,39,8,0.371,0.769,25,10.9,0.541,2.6,8.7,8.2,1.7,1.7,9.7,16.9,0,8.076923077,185.8,97,59,159,17,93,38,13,273,1512601
86,Wendell Carter,C,19,CHI,42,42,0.2,0.8,24,15.9,0.551,8.5,15,11.3,1.1,4.6,13.4,19.6,0.5,13.33333333,369.9,174,6,30,82,206,74,56,442,
87,Michael Carter-Williams,G,27,HOU,16,1,0.368,0.462,9,13,0.476,2.3,5.1,23.3,3.1,3.5,12.1,25,-0.1,4.4375,42.9,25,7,19,3,10,21,6,69,0
88,Alex Caruso,G,24,LAL,2,0,,,0,1.8,21,0,0,0,0,0,0,0.116,,0.5,-0.1,0,0,0,1,0,0,0,0,0
89,Omri Casspi,F,30,MEM,29,0,0.345,0.614,10,16.3,0.607,3.5,13.7,10.1,1.4,1.6,10.1,17.9,0,6.068965517,129.4,57,10,29,11,74,22,6,151,1512601
90,Willie Cauley-Stein,C,25,SAC,42,42,1,0.531,48,17.9,0.536,8.3,16.1,13.2,1.9,2,9,20.3,1,17.95238095,508.3,247,1,1,98,274,111,28,573,4696875
91,Troy Caupain,G,23,ORL,2,0,0.5,,1,33.4,0.625,0,12,57.4,5.5,0,0,19.7,0,4.5,6.7,2,1,2,0,2,3,0,5,
92,Tyler Cavanaugh,F,24,UTA,2,0,0,,0,0,0,27.6,13.7,0,0,0,0,10.8,0,0.5,0,0,0,1,1,0,0,0,0,0
93,Tyson Chandler,C,36,TOT,38,2,0,0.627,19,12.4,0.634,12.1,19.2,5.6,1.3,1.8,22,8.8,0.3,8.921052632,187.7,51,0,1,79,175,31,16,144,1333140
94,Wilson Chandler,F,31,PHI,28,24,0.366,0.714,14,8.4,0.527,5.4,9.6,10.2,0.9,1.3,14.5,11.4,0.1,9.964285714,143.5,67,30,82,35,94,55,12,174,12800562
95,Marquese Chriss,F,21,HOU,11,0,0.083,0.667,2,5.8,0.392,9.6,13.9,11.2,1.4,3.7,19.3,23.1,-0.1,2.818181818,9.9,10,1,12,6,11,5,3,23,3206160
96,Gary Clark,F,24,HOU,28,0,0.298,1,11,9.1,0.476,3.9,10,4.6,1.3,3.4,2,10.1,0.1,6.071428571,84.7,30,25,84,15,60,14,17,91,
97,Ian Clark,G,27,NOP,30,0,0.31,0.917,7,5.5,0.463,1.3,5.7,12,0.8,0.8,15,14.9,-0.4,4.4,61.3,43,18,58,5,38,39,4,115,0
98,Jordan Clarkson,G,26,CLE,42,0,0.338,0.852,33,17.8,0.543,3.9,6.9,15.4,1.5,0.7,9.7,29.1,0,13.4047619,455.5,285,75,222,40,98,94,9,720,12500000
99,John Collins,F,21,ATL,26,24,0.356,0.71,6,21.8,0.634,13.6,18.6,13.4,0.4,1.2,13.1,23.5,0.7,19.80769231,408.4,202,21,59,103,171,60,11,496,2299080
100,Zach Collins,C,21,POR,43,0,0.315,0.797,16,13.8,0.583,7.4,12.1,7,1,3.6,15,16.5,0.5,8.674418605,245.9,117,23,73,56,131,40,37,312,3628920
101,Darren Collison,G,31,IND,42,42,0.376,0.784,62,14.9,0.55,1.9,5.7,27.3,2.6,0.5,14.7,15.5,0.8,12.9047619,395.6,143,38,101,19,98,235,7,382,10000000
102,Mike Conley,G,31,MEM,40,40,0.35,0.844,52,20.1,0.543,1.9,5.6,32.1,1.9,1.1,8.7,27.6,1.5,18.375,635,270,86,246,23,110,249,16,805,30521115
103,Pat Connaughton,G,26,MIL,26,1,0.281,0.7,13,13.4,0.51,5.2,10.5,14.6,1.3,2.7,6.5,14.6,0.4,9.884615385,155.8,61,25,89,23,76,55,15,161,1641000
104,Quinn Cook,G,25,GSW,37,8,0.434,0.778,14,14.7,0.583,2.4,8.2,16.3,1.2,0.4,10.8,20.9,0,8.081081081,207.5,115,46,106,12,74,65,3,290,0
105,Robert Covington,F,28,TOT,35,35,0.378,0.764,74,13.5,0.58,2.5,8.6,5.3,2.9,3.2,10.5,15.7,1.4,15.82857143,376.4,156,85,225,28,165,46,47,465,10464092
106,Allen Crabbe,G,26,BRK,28,15,0.387,0.789,17,7.5,0.501,1.9,7.2,5.8,1.1,0.8,10.8,17.4,-0.2,9.642857143,140.9,85,65,168,13,84,30,8,265,18500000
107,Torrey Craig,F,28,DEN,35,29,0.299,0.618,16,9.4,0.517,7.8,10.1,5.8,1,2.1,11.6,12.8,0.2,8.428571429,162,81,29,97,56,88,34,18,212,2000000
108,Jamal Crawford,G,38,PHO,37,0,0.281,0.842,14,8.7,0.463,1.1,3.9,26.9,1.1,0.9,17.8,21.5,-0.9,6.405405405,148.5,82,27,96,6,38,119,7,239,1512601
109,Jae Crowder,F,28,UTA,42,6,0.333,0.73,30,13,0.552,2.8,9.5,8.8,1.3,1.2,7.8,18.8,0.8,12.54761905,366.5,166,85,255,29,171,68,17,509,7305825
110,Dante Cunningham,F,31,SAS,39,21,0.481,0.833,21,10.5,0.575,6.3,12.4,6.7,1.5,1.5,12.7,9.1,0.5,7.384615385,158.1,54,25,52,39,118,37,12,143,2487000
111,Seth Curry,G,28,POR,37,1,0.491,1,13,8.6,0.578,1.7,3.9,6.7,1,0.5,13.2,14.7,-0.1,5.405405405,129.5,81,52,106,10,38,31,4,221,
112,Stephen Curry,G,30,GSW,31,31,0.443,0.915,40,25.8,0.656,2.2,8.1,26.2,1.8,0.8,12.5,31.2,2.3,23.90322581,674.9,299,156,352,21,139,173,10,894,37457154
113,Troy Daniels,G,27,PHO,19,0,0.395,0.889,13,10.8,0.577,2.1,5,4.9,2.3,0.3,11.9,18.9,-0.1,5.473684211,70.4,41,30,76,5,19,9,1,120,3258539
114,Anthony Davis,C,25,NOP,37,37,0.321,0.804,66,31.2,0.599,9.9,19.1,19.1,2.3,6,7.7,29.2,4,31.43243243,1009.6,384,35,109,124,366,164,99,1070,25434263
115,Ed Davis,C,29,BRK,43,1,0,0.55,24,18,0.62,17.8,25.5,5.8,1.5,1.6,14.7,13,0.5,11.86046512,297.3,104,0,2,130,240,31,16,252,4449000
116,Tyler Davis,C,21,OKC,1,0,,,0,0,0,100,51.7,0,0,0,0,40.7,0,1,0,0,0,0,1,0,0,0,0,
117,Dewayne Dedmon,C,29,ATL,34,23,0.36,0.852,35,14.2,0.568,6.5,16.3,8.2,1.9,3.5,14.5,16.7,0.4,14.26470588,287,126,36,100,53,204,47,34,334,7200000
118,Sam Dekker,F,24,TOT,25,5,0.333,0.625,27,17,0.569,6.8,10.9,8.2,3.1,0.8,6.6,16.8,0.2,8.52,162.8,76,10,30,27,57,23,4,177,2760095
119,Matthew Dellavedova,G,28,TOT,26,0,0.426,0.895,6,13,0.613,0.3,4.8,32.9,0.8,0,23.8,18.5,-0.3,6.230769231,111.4,51,26,61,1,31,84,0,145,9607500
120,Luol Deng,F,33,MIN,4,0,0,0.667,3,16.3,0.419,19.8,20,4.5,4.5,2.7,12.3,21.5,0,5,11.7,5,0,5,6,6,1,1,12,0
121,DeMar DeRozan,G,29,SAS,43,43,0.175,0.829,45,20.2,0.534,2.3,9.6,29.1,1.5,1.2,10.8,29.1,1.3,20.30232558,736.8,364,7,40,32,234,278,21,953,27739975
122,Marcus Derrickson,F,22,GSW,6,0,0.286,0.75,0,5.1,0.507,6.6,6.4,0,0,2.5,15.2,24.9,-0.1,1.666666667,5,6,2,7,2,2,0,1,17,
