Rk,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,EFF,GmSc,last_year_salary,PID,Jersey
50,Eric Bledsoe,G,29,MIL,41,41,1209,238,492,0.484,58,187,0.31,180,305,0.59,0.543,84,113,0.743,44,140,184,230,57,17,93,93,618,18.1,0.57,0.38,0.23,4,11.4,7.9,27.2,2.2,1.2,14.7,22.1,2.1,1.9,4,0.157,1.9,0.9,2.7,1.4,16.85365854,529.7,15000000,202339,6
51,Jaron Blossomgame,F,25,CLE,17,4,282,29,63,0.46,9,27,0.333,20,36,0.556,0.532,6,7,0.857,17,45,62,8,6,4,8,9,73,11.1,0.552,0.429,0.111,6.5,18.6,12.3,4.1,1.1,1.2,10.8,11.6,0.2,0,0.2,0.039,-2,-1.8,-3.8,-0.1,6.470588235,68.3,,1628417,4
52,Bogdan Bogdanovic,G,26,SAC,30,7,838,164,386,0.425,62,172,0.36,102,214,0.477,0.505,62,77,0.805,13,96,109,120,27,5,49,59,452,15,0.538,0.446,0.199,1.6,12.2,6.7,20.1,1.5,0.5,10.5,23.2,0.8,0.5,1.3,0.074,1.3,-1.9,-0.6,0.3,14.6,321.2,9000000,203992,8
53,Bojan Bogdanovic,F,29,IND,42,42,1328,242,484,0.5,83,186,0.446,159,298,0.534,0.586,113,139,0.813,24,144,168,72,39,0,68,64,680,15.3,0.624,0.384,0.287,2.1,11.8,7.1,7.9,1.4,0,11.1,20.2,2,1.6,3.6,0.13,1.3,-1.1,0.2,0.7,12.76190476,483.4,10500000,202711,44
54,Jonah Bolden,F,23,PHI,18,2,223,25,51,0.49,4,24,0.167,21,27,0.778,0.529,7,16,0.438,18,39,57,11,5,12,16,36,61,9.2,0.525,0.471,0.314,8.9,18.2,13.7,6.7,1.1,4.2,21.6,14,-0.1,0.3,0.2,0.043,-3.5,1.2,-2.3,0,5.444444444,46.7,1690000,1628413,43
55,Isaac Bonga,G,19,LAL,6,0,22,2,8,0.25,0,1,0,2,7,0.286,0.25,2,3,0.667,2,2,4,4,3,0,2,3,6,9.8,0.322,0.125,0.375,9.6,9,9.3,22.9,6.3,0,17.7,21.3,-0.1,0,0,-0.026,-5.3,3.2,-2.1,0,1.833333333,5.4,1000000,1629067,17
56,Devin Booker,G,22,PHX,31,31,1092,272,602,0.452,70,215,0.326,202,387,0.522,0.51,156,185,0.843,19,96,115,215,33,6,119,105,770,19,0.563,0.357,0.307,1.9,10.1,6,34.1,1.5,0.5,14.8,32,1.2,0.3,1.5,0.064,3.4,-2.9,0.5,0.7,19.09677419,514.6,3314365,1626164,1
57,Chris Boucher,F,26,TOR,12,0,57,13,29,0.448,8,17,0.471,5,12,0.417,0.586,6,8,0.75,8,10,18,0,2,13,2,10,40,31.5,0.615,0.586,0.276,15.5,18.5,17,0,1.7,18.3,5.8,26.1,0.2,0.2,0.4,0.295,1.7,2.5,4.2,0.1,4.333333333,37.8,0,1628449,25
58,Avery Bradley,G,28,LAC,35,35,1015,108,285,0.379,31,106,0.292,77,179,0.43,0.433,14,17,0.824,21,63,84,66,21,14,44,100,261,5,0.446,0.372,0.06,2.3,6.3,4.4,8.7,1,1.1,13.1,14.1,-0.9,0.4,-0.5,-0.026,-2.6,-0.4,-3,-0.3,8,130.1,12000000,202340,11
59,Tony Bradley,C,21,UTA,1,0,9,0,3,0,0,0,,0,3,0,0,0,0,,2,1,3,0,0,0,1,1,0,-10.5,0,0,0,24.6,12.1,18.3,0,0,0,25,19.2,-0.1,0,-0.1,-0.347,-17.3,-5.5,-22.8,0,2,-1.8,1679520,1628396,13
60,Mikal Bridges,F,22,PHX,43,29,1126,116,280,0.414,55,161,0.342,61,119,0.513,0.513,37,44,0.841,25,95,120,67,60,22,31,101,324,10.5,0.541,0.575,0.157,2.5,9.7,6,8.2,2.6,1.7,9.4,12.8,0.6,0.7,1.3,0.054,-0.7,0.4,-0.2,0.5,9.511627907,268.5,3552960,1628969,25
61,Miles Bridges,F,20,CHA,39,0,758,96,220,0.436,29,95,0.305,67,125,0.536,0.502,34,45,0.756,21,118,139,39,20,26,24,54,255,11.6,0.532,0.432,0.205,2.9,16.9,9.8,7.2,1.3,3,9.1,14.9,0.3,0.7,1,0.065,-1.9,0.4,-1.5,0.1,8.333333333,205,3206640,1628970,0
62,Isaiah Briscoe,G,22,ORL,19,0,155,18,46,0.391,4,10,0.4,14,36,0.389,0.435,6,13,0.462,1,13,14,19,2,0,9,19,46,5,0.445,0.217,0.283,0.7,9.3,4.9,17.8,0.6,0,14.8,17.3,-0.2,0.1,-0.1,-0.037,-6.3,-2.8,-9,-0.3,2.526315789,21.5,838464,1628515,13
63,Ryan Broekhoff,G,28,DAL,17,0,102,16,35,0.457,9,27,0.333,7,8,0.875,0.586,2,2,1,2,13,15,6,1,2,5,4,43,12.3,0.599,0.771,0.057,2.2,13.4,7.9,9.1,0.5,1.6,12.2,17.1,0.1,0.1,0.2,0.082,-0.4,-1.8,-2.2,0,2.588235294,30.2,838464,1629151,45
64,Malcolm Brogdon,G,26,MIL,38,38,1125,227,435,0.522,61,142,0.43,166,293,0.567,0.592,81,82,0.988,39,138,177,134,23,9,66,61,596,17.7,0.633,0.326,0.189,3.8,12,8.1,17.1,1,0.7,12.3,20.1,2.6,1.3,4,0.17,2,-0.3,1.7,1.1,14.86842105,483.3,1544951,1627763,13
65,Dillon Brooks,F,23,MEM,18,0,330,49,122,0.402,15,40,0.375,34,82,0.415,0.463,22,30,0.733,9,22,31,16,10,4,19,50,135,7.9,0.499,0.328,0.246,3.1,7.8,5.4,7.8,1.5,1.2,12.3,21.5,-0.3,0.3,0,-0.002,-4.1,-1.6,-5.7,-0.3,5.888888889,63.9,1378242,1628415,24
67,Bruce Brown,G,22,DET,33,16,656,68,166,0.41,11,48,0.229,57,118,0.483,0.443,25,33,0.758,26,62,88,46,17,16,25,87,172,7.8,0.476,0.289,0.199,4.1,10.7,7.2,10,1.3,2,12.2,13.3,0,0.6,0.6,0.044,-3.4,1.2,-2.2,0,6.696969697,117.2,838464,1628971,6
68,Jaylen Brown,G,22,BOS,36,21,943,165,373,0.442,38,129,0.295,127,244,0.52,0.493,64,97,0.66,35,112,147,56,29,21,53,97,432,11.8,0.52,0.346,0.26,3.9,12.8,8.3,8.7,1.5,2,11.3,21.5,-0.1,1.3,1.2,0.061,-2.3,0.1,-2.2,-0.1,11.19444444,272.9,5169960,1627759,7
70,Sterling Brown,G,23,MIL,31,0,462,65,142,0.458,25,72,0.347,40,70,0.571,0.546,9,12,0.75,17,76,93,34,10,3,15,44,164,11.4,0.557,0.507,0.085,4,16.1,10.4,9.7,1,0.6,9.2,14.8,0.4,0.6,1.1,0.111,-1.1,-0.2,-1.4,0.1,6.935483871,127.4,1378242,1628425,23
71,Troy Brown,F,19,WAS,21,0,148,17,49,0.347,3,10,0.3,14,39,0.359,0.378,11,14,0.786,4,23,27,20,7,1,6,10,48,10.8,0.435,0.204,0.286,2.9,17.4,10,18.2,2.2,0.6,9.8,17.7,-0.1,0.1,0.1,0.017,-4.4,-0.9,-5.4,-0.1,3.285714286,40.7,2749080,1628972,6
72,Jalen Brunson,G,22,DAL,35,9,573,86,197,0.437,19,61,0.311,67,136,0.493,0.485,26,40,0.65,10,46,56,72,20,0,26,46,217,11,0.506,0.31,0.203,1.9,8.4,5.3,19.2,1.7,0,10.8,17.9,0.3,0.5,0.8,0.064,-1.8,-1.3,-3.1,-0.2,6.485714286,154.7,1230000,1628973,13
73,Thomas Bryant,C,21,WAS,33,27,593,115,174,0.661,9,28,0.321,106,146,0.726,0.687,48,56,0.857,38,131,169,30,14,25,19,44,287,21.6,0.722,0.161,0.322,6.9,24.7,15.7,7.6,1.1,3.6,8.7,15.7,2,0.5,2.5,0.201,1.3,0.3,1.5,0.5,10.39393939,289.8,1378242,1628418,13
74,Reggie Bullock,G,27,DET,32,32,970,131,317,0.413,79,202,0.391,52,115,0.452,0.538,44,50,0.88,15,63,78,74,17,3,36,54,385,11,0.568,0.637,0.158,1.6,7.4,4.3,11.4,0.9,0.3,9.6,16.4,1.1,0.6,1.6,0.081,0.6,-1.4,-0.8,0.3,10.8125,255.8,2500000,203493,25
75,Trey Burke,G,26,NYK,29,5,576,120,298,0.403,25,73,0.342,95,225,0.422,0.445,57,68,0.838,15,43,58,81,17,2,24,25,322,15.9,0.491,0.245,0.228,2.6,8.2,5.3,23.4,1.4,0.3,6.8,25.8,0.5,0.1,0.5,0.044,0.3,-3.7,-3.3,-0.2,9.620689655,221.5,1795015,203504,23
76,Alec Burks,G,27,CLE,40,14,935,142,351,0.405,48,125,0.384,94,226,0.416,0.473,85,103,0.825,17,124,141,83,24,16,43,64,417,13.3,0.526,0.356,0.293,2,15.3,8.4,13.5,1.3,1.4,9.8,20.6,0.6,0.4,1,0.049,-1.1,-1.4,-2.4,-0.1,10.275,294.7,11536515,202692,10
77,Deonte Burton,G,25,OKC,15,0,131,20,46,0.435,4,13,0.308,16,33,0.485,0.478,5,6,0.833,1,15,16,5,3,5,7,17,49,8,0.504,0.283,0.13,0.8,12,6.3,5.2,1.1,3.2,12.6,17.3,-0.1,0.2,0.1,0.044,-5.9,0.1,-5.8,-0.1,3.066666667,25.8,,1629126,30
